ID,Url,Price,Name,Manufacturer,Image,Image_Url,Core_Count,Thread_Count,Base_Clock,Cache,Socket,Cpu_Cooler,TDP,Integrated_GPU
65,https://www.jimms.fi/fi/Product/Show/195756/bx8071514600k/intel-core-i5-14600k-lga1700-3-50-ghz-24mb-boxed,379.9,Core i5-14600k,Intel,CPU_464821-ig800gg.jpg,https://ic.jimms.fi/product/2/8/464821-ig800gg.jpg,14 (6p + 8e),20,"3.5 ghz (base, p-core) / 2.6 ghz (base, e-core)",24 mb,Lga1700,,125w,Intel® uhd graphics 770
66,https://www.jimms.fi/fi/Product/Show/187565/100-000000800/amd-epyc-9334-sp5-2-70-ghz-32-core-tray,3471.9,Epyc 9334,AMD,CPU_416144-ig800gg.jpg,https://ic.jimms.fi/product/4/5/416144-ig800gg.jpg,32,64,2.7 ghz,128 mb,Sp5,,210 w,
67,https://www.jimms.fi/fi/Product/Show/196452/100-000001172/amd-epyc-8534pn-sp6-2-0-ghz-64-core-tray,5377.9,Epyc 8534pn,AMD,CPU_463866-ig800gg.jpg,https://ic.jimms.fi/product/6/3/463866-ig800gg.jpg,64,128,2.0 ghz,128 mb,Sp6,,175 w,
68,https://www.jimms.fi/fi/Product/Show/184474/bx8071513600k/intel-core-i5-13600k-lga1700-3-50-ghz-24mb-boxed,369.9,Core i5-13600k,Intel,CPU_405404-ig800gg.jpg,https://ic.jimms.fi/product/0/5/405404-ig800gg.jpg,14 (6p + 8e),20,"3.50 ghz (base, p-core) / 2.60 ghz (base, e-core)",24 mb,Lga1700,,125w,Intel® uhd graphics 770
69,https://www.jimms.fi/fi/Product/Show/178220/bx8071512700f/intel-core-i7-12700f-lga1700-2-10-ghz-25mb-boxed,332.9,Core i7-12700f,Intel,CPU_366586-ig800gg.jpg,https://ic.jimms.fi/product/8/3/366586-ig800gg.jpg,12 (8p + 4e),20,2.10 ghz (base),25mb,Lga1700,,65w,
70,https://www.jimms.fi/fi/Product/Show/161250/bx80701g6500/intel-pentium-gold-g6500-lga1200-4-10-ghz-4mb-boxed,136.9,Pentium gold g6500,Intel,CPU_288747-ig800gg.jpg,https://ic.jimms.fi/product/4/2/288747-ig800gg.jpg,2,4,4.10 ghz,4mb,Lga1200,,58w,Intel® uhd graphics 610
71,https://www.jimms.fi/fi/Product/Show/187552/100-000000789/amd-epyc-9654-sp5-2-40-ghz-96-core-tray,10126.9,Epyc 9654,AMD,CPU_416101-ig800gg.jpg,https://ic.jimms.fi/product/0/8/416101-ig800gg.jpg,96,192,2.4 ghz,384 mb,Sp5,,360 w,
72,https://www.jimms.fi/fi/Product/Show/187568/100-000000939/amd-epyc-9224-sp5-2-50-ghz-24-core-tray,2201.9,Epyc 9224,AMD,CPU_416153-ig800gg.jpg,https://ic.jimms.fi/product/5/6/416153-ig800gg.jpg,24,48,2.5 ghz,64 mb,Sp5,,200 w,
73,https://www.jimms.fi/fi/Product/Show/166062/100-100000059wof/amd-ryzen-9-5950x-am4-3-4-ghz-16-core-boxed,519.9,Ryzen 9 5950x,AMD,CPU_303985-ig800gg.jpg,https://ic.jimms.fi/product/8/4/303985-ig800gg.jpg,16,32,3.4 ghz,L2 cache: 8mb,Am4,,105w,
74,https://www.jimms.fi/fi/Product/Show/164084/bx80701g5925/intel-celeron-g5925-lga1200-3-60-ghz-4mb-boxed,80.9,Celeron g5925,Intel,CPU_294446-ig800gg.jpg,https://ic.jimms.fi/product/4/3/294446-ig800gg.jpg,2,2,3.60 ghz,4mb,Lga1200,,58w,Intel® uhd graphics 610
